Temperature,Top K,Top P,Success Count,Fail Count,Response
1.5,1,0.8,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
Distichlis spicata (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding
ground.
In open, level to slightly sloping areas
favored by the terns for nesting, near the
beach; surrounded by low forest consisting
almost entirely of Crataeva tapia (3-4 m tall),
Porous soil.

CHRISTOPHER DAVIDSON 2060 29 April 1973
Jonvea pilosa (Presl) Scribn.
THE UNIVERSITY OF MICHIGAN MICH
ARTES SCIENTIA VERITAS
1817
copyright reserved cm
DEC 1 8 1975
1 122841
University of Michigan Herbarium
1122841


Distichlis spicata
Crataeva tapia
Jouvea pilosa

"
1.5,3,0.8,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
Distichlis spicata (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding
ground.
In open, level to slightly sloping areas
favored by the terns for nesting, near the
beach; surrounded by low forest consisting
almost entirely of Crataeva tapia (3-4 m tall),
Porous soil.
CHRISTOPHER DAVIDSON 2060
29 April 1973
Jouvea pilosa (Presl) Scribn.
MICH
University of Michigan Herbarium
1122841
copyright reserved cm
DEC 1 8 1975
1 122841


Distichlis spicata
Crataeva tapia
Jonvea pilosa

"
0.5,1,0.3,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
Distichlis spicata (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding
ground.
In open, level to slightly sloping areas
favored by the terns for nesting, near the
beach; surrounded by low forest consisting
almost entirely of Crataeva tapia (3-4 m tall),
Porous soil.
CHRISTOPHER DAVIDSON 2060 29 April 1973
Jonvea pilosa (Presl) Scribn.
THE UNIVERSITY OF MICHIGAN
MICH
University of Michigan Herbarium
1122841
copyright reserved cm
DEC 1 8 1975
1 122841


Distichlis spicata
Crataeva tapia
Jouvea pilosa

"
0.5,1,0,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
Distichlis spicata (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding
ground.
In open, level to slightly sloping areas
favored by the terns for nesting, near the
beach; surrounded by low forest consisting
almost entirely of Crataeva tapia (3-4 m tall),
Porous soil.
CHRISTOPHER DAVIDSON 2060 29 April 1973
Jonvea pilosa (Presl) Scribn.
THE UNIVERSITY OF MICHIGAN
MICH
University of Michigan Herbarium
1122841
copyright reserved cm
DEC 1 8 1975
1 122841


Distichlis spicata
Crataeva tapia
Jouvea pilosa

"
1,10,0.5,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
Distichlis spicata (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding
ground.
In open, level to slightly sloping areas
favored by the terns for nesting, near the
beach; surrounded by low forest consisting
almost entirely of Crataeva tapia (3-4 m tall),
Porous soil.
CHRISTOPHER DAVIDSON 2060 29 April 1973
Jouvea pilosa (Presl) Scribn.
THE UNIVERSITY OF MICHIGAN
MICH
University of Michigan Herbarium
1122841
copyright reserved cm
DEC 1 8 1975
1 122841


Distichlis spicata
Crataeva tapia
Jouvea pilosa

"
0,3,0.5,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
Distichlis spicata (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding
ground.
In open, level to slightly sloping areas
favored by the terns for nesting, near the
beach; surrounded by low forest consisting
almost entirely of Crataeva tapia (3-4 m tall),
Porous soil.
CHRISTOPHER DAVIDSON 2060 29 April 1973
Jonvea pilosa (Presl) Scribn.
THE UNIVERSITY OF MICHIGAN
MICH
University of Michigan Herbarium
1122841
copyright reserved cm
DEC 1 8 1975
1 122841


Distichlis spicata
Crataeva tapia
Jouvea pilosa

"
0,10,0.3,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
Distichlis spicata (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding
ground.
In open, level to slightly sloping areas
favored by the terns for nesting, near the
beach; surrounded by low forest consisting
almost entirely of Crataeva tapia (3-4 m tall),
Porous soil.
CHRISTOPHER DAVIDSON 2060 29 April 1973
Jonvea pilosa (Presl) Scribn.
THE UNIVERSITY OF MICHIGAN
MICH
University of Michigan Herbarium
1122841
copyright reserved cm
DEC 1 8 1975
1 122841


Distichlis spicata
Crataeva tapia
Jouvea pilosa

"
0,3,0.8,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
Distichlis spicata (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding
ground.
In open, level to slightly sloping areas
favored by the terns for nesting, near the
beach; surrounded by low forest consisting
almost entirely of Crataeva tapia (3-4 m tall),
Porous soil.

CHRISTOPHER DAVIDSON 2060 29 April 1973
*Jouvea pilosa (Presl) Scribn.*
THE UNIVERSITY OF MICHIGAN MICH
copyright reserved cm
DEC 1 8 1975
1 122841
University of Michigan Herbarium
1122841


Distichlis spicata
Crataeva tapia
Jouvea pilosa

"
1.5,40,0.3,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
Distichlis spicata (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding
ground.
In open, level to slightly sloping areas
favored by the terns for nesting, near the
beach; surrounded by low forest consisting
almost entirely of Crataeva tapia (3-4 m tall),
Porous soil.
CHRISTOPHER DAVIDSON 2060 29 April 1973
Jonvea pilosa (Presl) Scribn.
THE UNIVERSITY OF MICHIGAN
MICH
University of Michigan Herbarium
1122841
copyright reserved cm
DEC 1 8 1975
1 122841


Distichlis spicata
Crataeva tapia
Jouvea pilosa

"
1.5,40,0,1,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
Distichlis spicata (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding
ground.
In open, level to slightly sloping areas
favored by the terns for nesting, near the
beach; surrounded by low forest consisting
almost entirely of Crataeva tapia (3-4 m tall),
Porous soil.
CHRISTOPHER DAVIDSON 2060 29 April 1973
Jonvea pilosa (Presl) Scribn.
THE UNIVERSITY OF MICHIGAN
MICH
University of Michigan Herbarium
1122841
copyright reserved cm
DEC 1 8 1975
1 122841


Distichlis spicata
Crataeva tapia
Jouvea pilosa

"
