Temperature,Top K,Top P,Success Count,Fail Count,Response,Avg Levenshtein Distance
0.0,1,0.0,3,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (34 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


*Crataeva Tapia*
*Gouinia pilosa*

RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (34 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060  29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn.

*Crataeva tapia*
*Jouvea pilosa*

RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060  29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


*Crataeva Tapia*
*Gouinia pilosa*

",172.25136612021856
0.0,1,0.3,3,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn.

*Crataeva Tapia*
*Gouinia pilosa*

RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distictis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding
ground.
In open, level to slightly sloping areas
favored by the terns for nesting, near the
beach; surrounded by low forest consisting
almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                 29 April 1973

*Gouinia pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text: *Distictis spicata*, *Gouinia pilosa*

*Crataeva Tapia*
*Jouvea pilosa*

RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                       29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn.

*Crataeva Tapia*
*Jouvea pilosa*

",169.7486338797814
0.0,1,0.5,3,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (34 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                 29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


*Crataeva Tapia*
*Jouvea pilosa*

RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (34 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060  29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn.

*Crataeva Tapia*
*Jouvea pilosa*

RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (34 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn.


*Crataeva Tapia*
*Jouvea pilosa*

",164.41530054644807
0.0,1,0.8,3,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                 29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


*Crataeva Tapia*
*Gouinia pilosa*

RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distictis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060  29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


*Crataeva tapia*
*Jouvea pilosa*

RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060 29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


*Crataeva Tapia*
*Gouinia pilosa*

",175.60655737704917
0.0,3,0.0,3,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


*Crataeva Tapia*
*Jouvea pilosa*

RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (34 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn.

*Crataeva Tapia*
*Jouvea pilosa*

RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (34 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn.

*Crataeva Tapia*
*Gouinia pilosa*

",155.4262295081967
0.0,3,0.3,3,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (34 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


*Crataeva Tapia*
*Gouinia pilosa*

RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                       29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


*Crataeva Tapia*
*Jouvea pilosa*

RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding
ground.
In open, level to slightly sloping areas
favored by the terns for nesting, near the
beach; surrounded by low forest consisting
almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


*Crataeva Tapia*
*Jouvea pilosa*

",158.55191256830602
0.0,3,0.5,3,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (34 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn.

*Crataeva Tapia*
*Gouinia pilosa*

RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distictis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (34 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distictis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn.

*Crataeva Tapia*
*Jouvea pilosa*

RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                 29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn.

*Crataeva Tapia*
*Jouvea pilosa*

",159.04371584699453
0.0,3,0.8,3,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn.


*Crataeva Tapia*
*Gouinia pilosa*

RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (34 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                 29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn.

*Crataeva Tapia*
*Gouinia pilosa*

RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                    29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


*Crataeva Tapia*
*Gouinia pilosa*

",159.7377049180328
0.0,10,0.0,3,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (34 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060  29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn.


*Crataeva Tapia*
*Gouinia pilosa*

RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060  29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


*Crataeva tapia*
*Jouvea pilosa*

RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (34 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn.

*Crataeva Tapia*
*Jouvea pilosa*

",172.89071038251365
0.0,10,0.3,3,0,"RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (34 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060                      29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distichlis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn.


*Crataeva Tapia*
*Gouinia pilosa*

RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distictis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (3-4 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060  29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


Handwritten text:
*Distictis spicata* (L.) Greene
*Jouvea pilosa* (Presl) Scribn.


*Crataeva Tapia*
*Gouinia pilosa*

RANCHO SANTA ANA BOTANIC GARDEN
PLANTS OF MEXICO
*Distichlis spicata* (L.) Greene
Nayarit: Isabel Island, E of Tres Marias Is.
Volcanic islet--cormorant and tern breeding ground.
In open, level to slightly sloping areas favored by the terns for nesting, near the beach; surrounded by low forest consisting almost entirely of *Crataeva tapia* (34 m tall).
Porous soil.

CHRISTOPHER DAVIDSON 2060  29 April 1973

*Jouvea pilosa* (Presl) Scribn.

MICH
University of Michigan Herbarium
1122841

copyright reserved cm
DEC 1 8 1975
1 122841


*Crataeva Tapia*
*Gouinia pilosa*

",176.13114754098362
